"","Cues","Targets","Forward.Strength","Mediated.Strength"
"273","AIDS","DISEASE",0.329,0.003
"274","AIM","TARGET",0.089,0
"275","AIM","TOOTHPASTE",0.068,0
"276","AIR","BREATHE",0.176,0.018
"277","AIR","CONDITION",0.034,0
"278","AIR","OXYGEN",0.142,0.002
"279","AIR","POLLUTION",0.054,0
"280","AIR","SUPPLY",0.068,0
"281","AIR FORCE","ACADEMY",0.027,0
"282","AIR FORCE","MARINES",0.107,0.005
"283","AIR FORCE","MILITARY",0.033,0.014
"284","AIRCRAFT","AIR FORCE",0.027,0
"285","AIRCRAFT","AIRPLANE",0.095,0.016
"286","AIRCRAFT","CARRIER",0.109,0
"287","AIRPLANE","AIRPORT",0.036,0
"288","AIRPLANE","FLIGHT",0.051,0.001
"289","ALARM","MORNING",0.042,0.001
"290","ALBUM","PICTURE",0.193,0.088
"291","ALBUM","RECORD",0.333,0.004
"292","ALE","GINGER",0.133,0
"293","ALERT","ACTION",0.028,0
"294","ALERT","ASLEEP",0.049,0.137
"295","ALERT","ATTENTIVE",0.035,0
"296","ALGAE","BACTERIA",0.034,0.008
"297","ALGAE","FUNGUS",0.17,0.007
"298","ALGEBRA","CALCULUS",0.079,0.053
"299","ALGEBRA","NUMBER",0.043,0.119
"300","ALIKE","DIFFERENT",0.238,0.271
"301","ALIKE","SIMILAR",0.204,0.03
"302","ALIVE","LIVING",0.081,0
"303","ALL","EVERYONE",0.122,0
"304","ALL","EVERYTHING",0.061,0.006
"305","ALL","NOTHING",0.061,0.053
"306","ALLEGIANCE","LOYALTY",0.068,0
"307","ALLEGIANCE","PLEDGE",0.311,0
"308","ALLERGY","MEDICINE",0.028,0.008
"309","ALLERGY","SNEEZE",0.407,0.008
"310","ALLEY","GARBAGE",0.029,0.008
"311","ALLEY","STREET",0.207,0.03
"312","ALLIGATOR","ANIMAL",0.079,0.01
"313","ALLIGATOR","CROCODILE",0.46,0
"314","ALLIGATOR","FLORIDA",0.048,0.006
"315","ALLIGATOR","REPTILE",0.048,0.023
"316","ALLOW","PERMISSION",0.039,0.023
"317","ALLOW","PERMIT",0.161,0.001
"318","ALMANAC","CALENDAR",0.041,0.001
"319","ALMANAC","DICTIONARY",0.068,0.005
"320","ALMANAC","ENCYCLOPEDIA",0.027,0.004
"321","ALMANAC","FARMERS",0.034,0
"322","ALMANAC","INFORMATION",0.047,0.004
"323","ALMIGHTY","POWERFUL",0.092,0
"324","ALMIGHTY","STRONG",0.053,0.054
"325","ALMOND","BUTTER",0.026,0.028
"326","ALMOND","CHOCOLATE",0.084,0.005
"327","ALMOND","PEANUT",0.058,0.026
"328","ALONE","AFRAID",0.027,0.01
"329","ALONE","ISOLATED",0.027,0.003
"330","ALONE","LONELY",0.215,0.004
"331","ALONE","TOGETHER",0.141,0.003
"332","ALPHABET","KINDERGARTEN",0.033,0
"333","ALPHABET","LETTERS",0.412,0.021
"334","ALPHABET","NUMBERS",0.072,0.027
"335","ALPHABET","SCHOOL",0.033,0
"336","ALTER","CHANGE",0.633,0.002
"337","ALTERNATIVE","ANOTHER",0.039,0.007
"338","ALTERNATIVE","CHOICE",0.145,0.031
"339","ALTERNATIVE","DIFFERENT",0.072,0.018
"340","ALTERNATIVE","OPTION",0.046,0.006
"341","ALTERNATIVE","PROGRESSIVE",0.039,0
"342","ALTO","SAXOPHONE",0.115,0.002
"343","ALTO","SINGER",0.081,0.001
"344","ALTO","SOPRANO",0.243,0
"345","ALUMINUM","RECYCLE",0.068,0
"346","ALUMINUM","SIDING",0.055,0
"347","ALWAYS","FOREVER",0.378,0.004
"348","ALWAYS","SOMETIMES",0.028,0.013
"349","AMATEUR","BEGINNER",0.128,0.014
"350","AMATEUR","EXPERT",0.034,0.004
"351","AMATEUR","NOVICE",0.047,0.033
"352","AMATEUR","PROFESSIONAL",0.275,0.01
"353","AMATEUR","ROOKIE",0.027,0
"354","AMAZE","ASTONISH",0.059,0
"355","AMAZE","ASTOUND",0.072,0
"356","AMAZE","EXCITE",0.065,0
"357","AMAZE","IMPRESSED",0.026,0
"358","AMAZE","SURPRISE",0.078,0.005
"359","AMAZE","WONDER",0.137,0.002
"360","AMBITION","DESIRE",0.061,0.017
"361","AMBITION","STRIVE",0.034,0
"362","AMBITION","SUCCESS",0.041,0.008
"363","AMBULANCE","ACCIDENT",0.116,0.009
"364","AMBULANCE","DRIVER",0.043,0
"365","AMBULANCE","EMERGENCY",0.174,0.014
"366","AMBULANCE","HOSPITAL",0.174,0.016
"367","AMBULANCE","SICKNESS",0.029,0
"368","AMERICA","BEAUTIFUL",0.096,0.002
"369","AMERICA","COUNTRY",0.112,0.045
"370","AMERICA","FREEDOM",0.219,0.04
"371","AMERICAN","CITIZEN",0.034,0.001
"372","AMERICAN","FOREIGN",0.028,0.002
"373","AMERICAN","INDIAN",0.028,0.007
"374","AMERICAN","NATIVE",0.028,0.002
"375","AMERICAN","PATRIOT",0.062,0.001
"376","AMERICAN","PEOPLE",0.028,0.001
"377","AMOUNT","DOLLAR",0.04,0.02
"378","AMOUNT","MEASURE",0.04,0
"379","AMOUNT","NUMBER",0.027,0.011
"380","AMOUNT","QUANTITY",0.067,0
"381","AMP","AMPLIFY",0.033,0
"382","AMP","ELECTRICITY",0.053,0.015
"383","AMP","GUITAR",0.093,0.004
"384","AMP","SPEAKER",0.06,0.005
"385","AMP","STEREO",0.093,0.028
"386","AMUSE","ENTERTAIN",0.15,0
"387","ANALYSIS","DOCTOR",0.028,0
"388","ANALYZE","COMPARE",0.028,0
"389","ANALYZE","FIGURE",0.062,0
"390","ANALYZE","INTERPRET",0.028,0
"391","ANALYZE","PSYCHOLOGY",0.042,0
"392","ANARCHY","GOVERNMENT",0.151,0.006
"393","ANARCHY","MONARCHY",0.027,0
"394","ANATOMY","BIOLOGY",0.028,0.011
"395","ANATOMY","DOCTOR",0.028,0.012
"396","ANATOMY","PHYSIOLOGY",0.103,0
"397","ANATOMY","SCIENCE",0.041,0.008
"398","ANCESTOR","ANCIENT",0.072,0.007
"399","ANCESTOR","DESCENDENT",0.026,0
"400","ANCESTOR","FAMILY",0.052,0.026
"401","ANCESTOR","GRANDFATHER",0.059,0
"402","ANCESTOR","GRANDMOTHER",0.046,0
"403","ANCESTOR","GRANDPARENT",0.065,0
"404","ANCESTOR","HERITAGE",0.026,0
"405","ANCESTOR","RELATIVE",0.196,0.004
"406","ANCHOR","WEIGHT",0.056,0
"407","ANGEL","HEAVEN",0.327,0.009
"408","ANGER","HAPPINESS",0.042,0.003
"409","ANGLE","90 DEGREE",0.066,0
"410","ANGLE","DEGREE",0.079,0
"411","ANGLE","GEOMETRY",0.179,0.012
"412","ANGLE","OBTUSE",0.06,0
"413","ANGLE","SQUARE",0.026,0.046
"414","ANGLE","STRAIGHT",0.04,0.018
"415","ANGLE","TRIANGLE",0.099,0.016
"416","ANIMALS","MONKEY",0.027,0.005
"417","ANISETTE","LICORICE",0.034,0
"418","ANKLE","BRACELET",0.049,0.002
"419","ANKLE","SPRAIN",0.049,0
"420","ANNIHILATE","BREATH",0.066,0
"421","ANNIHILATE","DEMOLISH",0.026,0.017
"422","ANNIHILATE","DESTROY",0.232,0.036
"423","ANNIHILATE","PEOPLE",0.026,0
"424","ANNOUNCE","ENGAGEMENT",0.034,0
"425","ANNOUNCE","INFORM",0.028,0.004
"426","ANNOUNCE","MARRIAGE",0.028,0.02
"427","ANNOUNCE","MICROPHONE",0.034,0.002
"428","ANNOUNCE","SPEAKER",0.055,0.003
"429","ANNOUNCE","WEDDING",0.028,0.004
"430","ANNOY","AGGRAVATE",0.041,0.021
"431","ANNOY","BOTHER",0.356,0.027
"432","ANNOY","BROTHER",0.041,0.024
"433","ANNOY","DISTURB",0.034,0.01
"434","ANNOY","IRRITATE",0.089,0.011
"435","ANNOY","SISTER",0.027,0.071
"436","ANNOYING","BOTHER",0.04,0.008
"437","ANNOYING","BOTHERSOME",0.066,0
"438","ANNOYING","BROTHER",0.026,0.006
"439","ANNOYING","IRRITATING",0.086,0.001
"440","ANNOYING","OBNOXIOUS",0.026,0
"441","ANNOYING","PERSON",0.04,0.003
"442","ANNUAL","PICNIC",0.05,0
"443","ANNUAL","YEARLY",0.707,0.002
"444","ANOTHER","DIFFERENT",0.041,0.02
"445","ANOTHER","PERSON",0.13,0.007
"446","ANSWER","QUESTION",0.54,0.003
"447","ANSWER","RESPONSE",0.071,0.004
"448","ANSWER","SOLUTION",0.032,0
"449","ANT","INSECT",0.168,0.025
"450","ANT","PICNIC",0.034,0
"451","ANTEATER","AARDVARK",0.117,0
"452","ANTEATER","ANIMAL",0.179,0.04
"453","ANTELOPE","ANIMAL",0.224,0.062
"454","ANTELOPE","ANTLER",0.046,0.027
"455","ANTELOPE","CANTELOUPE",0.059,0
"456","ANTELOPE","GAZELLE",0.033,0
"457","ANTENNA","RECEPTION",0.074,0
"458","ANTENNA","TELEVISION",0.378,0.011
"459","ANTIDOTE","MEDICINE",0.144,0.03
"460","ANTIDOTE","POISON",0.164,0.019
"461","ANTIDOTE","REMEDY",0.068,0.011
"462","ANTIQUE","FURNITURE",0.033,0
"463","ANTLER","REINDEER",0.034,0.009
"464","ANTLERS","REINDEER",0.099,0.009
"465","ANXIETY","ATTACK",0.092,0
"466","ANXIETY","FRUSTRATION",0.028,0.001
"467","ANXIETY","NERVES",0.035,0.002
"468","ANXIETY","NERVOUS",0.127,0.016
"469","ANXIETY","STRESS",0.077,0.014
"470","ANXIOUS","ANXIETY",0.027,0.001
"471","ANXIOUS","EXCITED",0.101,0.003
"472","ANXIOUS","IMPATIENT",0.047,0.001
"473","ANXIOUS","NERVOUS",0.351,0.017
"474","ANYTHING","ANYONE",0.086,0
"475","ANYTHING","ANYWHERE",0.026,0
"476","ANYTHING","EVERYTHING",0.329,0.021
"477","ANYTHING","NOTHING",0.217,0.165
"478","ANYTHING","SOMETHING",0.158,0.036
"479","ANYTHING","WHATEVER",0.026,0
"480","APART","LONELY",0.028,0.005
"481","APART","SEPARATE",0.168,0.006
"482","APART","TOGETHER",0.406,0.021
"483","APARTMENT","BUILDING",0.077,0.007
"484","APARTMENT","COMPLEX",0.056,0
"485","APARTMENT","FREEDOM",0.042,0.001
"486","APARTMENT","INDEPENDENT",0.028,0.001
"487","APATHETIC","CARING",0.033,0.021
"488","APATHETIC","EMPATHETIC",0.06,0
"489","APATHETIC","PATHETIC",0.06,0
"490","APATHETIC","SYMPATHETIC",0.133,0.001
"491","APATHETIC","SYMPATHY",0.06,0
"492","APATHETIC","UNCARING",0.033,0
"493","APATHY","EMPATHY",0.035,0.029
"494","APATHY","INDIFFERENCE",0.028,0
"495","APATHY","SORROW",0.028,0.048
"496","APATHY","SYMPATHY",0.257,0.015
"497","APE","ANIMAL",0.041,0.037
"498","APE","GORILLA",0.185,0.002
"499","APE","MONKEY",0.459,0.083
"500","APOLOGY","ACCEPT",0.026,0.001
"501","APOLOGY","FORGIVE",0.065,0.028
"502","APPEAL","ATTRACT",0.041,0
"503","APPEAL","ATTRACTIVE",0.055,0.001
"504","APPEAL","PLEASE",0.034,0.002
"505","APPEAR","DISAPPEAR",0.306,0.012
"506","APPEARANCE","BEAUTIFUL",0.027,0.011
"507","APPEARANCE","CLOTHES",0.047,0.001
"508","APPEARANCE","PRETTY",0.047,0.074
"509","APPENDAGE","FINGER",0.043,0.007
"510","APPLE","ORANGE",0.174,0.033
"511","APPLIANCE","BLENDER",0.075,0
"512","APPLIANCE","CAN OPENER",0.027,0
"513","APPLIANCE","DISHWASHER",0.027,0
"514","APPLIANCE","ELECTRIC",0.034,0
"515","APPLIANCE","KITCHEN",0.109,0.005
"516","APPLIANCE","MICROWAVE",0.041,0.003
"517","APPLIANCE","REFRIGERATOR",0.109,0
"518","APPLIANCE","TOASTER",0.122,0.001
"519","APPLIANCE","WASHER",0.054,0.006
"520","APPLICATION","EMPLOYMENT",0.028,0.005
"521","APPOINTMENT","COMMITMENT",0.027,0
"522","APPOINTMENT","DOCTOR",0.243,0.004
"523","APPOINTMENT","MEETING",0.081,0
"524","APPOINTMENT","SCHEDULE",0.068,0.003
"525","APPRAISE","ESTIMATE",0.044,0
"526","APPRAISE","EVALUATE",0.033,0
"527","APPROVAL","ACCEPTANCE",0.026,0
"528","APPROVAL","AGREEMENT",0.046,0
"529","APPROVAL","DISAPPROVAL",0.204,0
"530","APPROVAL","PERMISSION",0.026,0
"531","APPROVAL","PRAISE",0.026,0
"532","APRON","CLOTHES",0.034,0
"533","APRON","COOKING",0.122,0
"534","APRON","KITCHEN",0.149,0.011
"535","APRON","MOTHER",0.054,0
"536","APRON","STRINGS",0.074,0
"537","ARCHITECT","BUILDER",0.072,0.001
"538","ARCHITECT","BUILDING",0.289,0.01
"539","ARCHITECT","DESIGN",0.039,0
"540","ARCHITECT","DESIGNER",0.072,0
"541","ARCHITECT","DRAWING",0.033,0.001
"542","ARCHITECT","ENGINEER",0.033,0
"543","ARCHITECTURE","BUILDING",0.51,0.026
"544","ARCHITECTURE","DESIGN",0.027,0.001
"545","ARCHITECTURE","STRUCTURE",0.04,0.018
"546","ARCTIC","CIRCLE",0.034,0
"547","AREA","SQUARE",0.047,0.022
"548","ARENA","BASKETBALL",0.041,0.012
"549","ARENA","CONCERT",0.027,0.007
"550","ARENA","FOOTBALL",0.219,0.089
"551","ARENA","HOCKEY",0.041,0.002
"552","ARENA","SPORTS",0.116,0.004
"553","ARENA","STADIUM",0.137,0.007
"554","ARGUE","DEBATE",0.034,0
"555","ARGUMENT","DISAGREE",0.034,0
"556","ARGUMENT","DISAGREEMENT",0.034,0
"557","ARIGHT","CORRECT",0.033,0.008
"558","ARITHMETIC","ALGEBRA",0.028,0.047
"559","ARITHMETIC","CALCULUS",0.035,0.062
"560","ARITHMETIC","NUMBER",0.028,0.139
"561","ARMOR","KNIGHT",0.293,0.002
"562","ARMOR","PROTECTION",0.114,0.028
"563","ARMOR","SHIELD",0.114,0.002
"564","ARMS","FINGERS",0.028,0.02
"565","ARMS","WEAPONS",0.076,0
"566","ARMY","MARINE",0.047,0.001
"567","ARMY","MILITARY",0.027,0.013
"568","ARMY","SOLDIER",0.027,0.002
"569","AROUND","CIRCLE",0.245,0.01
"570","AROUND","INSIDE",0.035,0.001
"571","AROUND","SURROUNDING",0.042,0
"572","ARREST","CRIMINAL",0.052,0.023
"573","ARREST","HANDCUFFS",0.071,0
"574","ARREST","POLICE",0.24,0.083
"575","ARREST","TROUBLE",0.039,0
"576","ARRIVE","AIRPORT",0.04,0.003
"577","ARRIVE","DEPART",0.192,0
"578","ARROGANT","CONCEITED",0.052,0.012
"579","ARROGANT","OBNOXIOUS",0.052,0.011
"580","ARROGANT","POMPOUS",0.026,0
"581","ARROGANT","STUCK UP",0.052,0.021
"582","ARROGANT","STUPID",0.039,0.006
